ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	MORPHEMES	NOTE	TOKENS	VALUE
2114	r y - ¹³ + p ə ⁵⁵	1208	None	BONE	Lhasa	r.y.¹³.◦.p.ə.⁵⁵	None		r y ¹³ + p ə ⁵⁵	ry¹³pə⁵⁵
2115	r ə - + - p a -	1208	None	BONE	Xiahe	r.ə._.p.a	None		r ə + p a	rə pa
2116	kˤ u.t	1209	None	BONE	OldChinese	kˤ.u.t	None		kˤ u.t	*kˤut
25	ɲ i.ŋ	1288	1274	HEART	Gyalsumdo	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
288	ɲ i.ŋ	1288	1274	HEART	Jirel	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
548	n i.ŋ	1288	1274	HEART	Kagate	niŋ	heart	[x]	n i.ŋ	niŋ
801	ɲ i.ŋ	1288	1274	HEART	Lowa	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
1058	ɲ i.ŋ	1288	1274	HEART	Nubri	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
1306	ɲ i.ŋ	1288	1274	HEART	Sherpa	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
1551	ɲ i.ŋ	1288	1274	HEART	Tsum	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
1813	ɲ i.ŋ	1288	1274	HEART	Yolmo	ɲiŋ	heart	[x]	ɲ i.ŋ	ɲiŋ
2338	s.ɲ i.ŋ	1288	None	HEART	OldTibetan	s.ɲ.i.ŋ	None		s.ɲ i.ŋ	sɲiŋ
2339	ȵ i.ŋ ⁵⁵	1288	None	HEART	Lhasa	ȵ.i.ŋ.⁵⁵	None		ȵ i.ŋ ⁵⁵	ȵiŋ⁵⁵
2340	- ȵ ĩ - ⁵⁵	1288	None	HEART	Batang	ȵ.ĩ.∼.⁵⁵	None		ȵ ĩ ⁵⁵	ȵĩ⁵⁵
2341	h.ȵ a.ŋ	1288	None	HEART	Xiahe	h.ȵ.a.ŋ	None		h.ȵ a.ŋ	hȵaŋ
2342	r.ȵ̥ a.ŋ	1288	None	HEART	Alike	r.ȵ̥.a.ŋ	None	!	r.ȵ̥ a.ŋ	rȵ̥aŋ
2343	s ə.m	1289	None	HEART	OldChinese	s.ə.m	None		s ə.m	*səm
26	tʰ a.k	1206	246	BLOOD	Gyalsumdo	tʰak	blood	[x]	tʰ a.k	tʰak
289	tʰ a.k	1206	246	BLOOD	Jirel	tʰak	blood	[x]	tʰ a.k	tʰak
549	tʰ a	1206	246	BLOOD	Kagate	tʰa	blood	[x]	tʰ a	tʰa
802	tʰ a.k	1206	246	BLOOD	Lowa	tʰak	blood	[x]	tʰ a.k	tʰak
1059	tʰ a	1206	246	BLOOD	Nubri	tʰa	blood	[x]	tʰ a	tʰa
1307	tʰ a.k	1206	246	BLOOD	Sherpa	tʰak	blood	[x]	tʰ a.k	tʰak
1552	tʰ.ɹ a.ʔ	1206	246	BLOOD	Tsum	tʰɹaʔ	blood	[x]	tʰ.ɹ a.ʔ	tʰɹaʔ
1814	tʰ a	1206	246	BLOOD	Yolmo	tʰa	blood	[x]	tʰ a	tʰa
2104	kʰ.r a.g	1206	None	BLOOD	OldTibetan	kʰ.r.a.g	None		kʰ.r a.g	kʰrag
2105	ʈʂʰ - a - ⁵²	1206	None	BLOOD	Lhasa	tʂh.a.⁵²	None		ʈʂʰ a ⁵²	tʂha⁵²
2106	ʈʂʰ ɑ.ʔ ⁵³	1206	None	BLOOD	Batang	tʂh.ɑ.ʔ.⁵³	None		ʈʂʰ ɑ.ʔ ⁵³	tʂhɑʔ⁵³
2107	tɕʰ a.χ	1206	None	BLOOD	Xiahe	tɕh.a.χ	None		tɕʰ a.χ	tɕhaχ
2108	cçʰ a.k	1206	None	BLOOD	Alike	cçh.a.k	None	!	cçʰ a.k	cçhak
2109	m̥ˤ i.k	1207	None	BLOOD	OldChinese	m̥ˤ.i.k	None		m̥ˤ i.k	*m̥ˤik
30	kʰ a.ŋ - + p a	402	1383 10	HOUSE	Gyalsumdo	kʰaŋpa	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + p a	kʰaŋpa
293	kʰ - a.!m/ŋ + b a	1301	1383 10	HOUSE	Jirel	kʰamba	house _:pa-suffix/pa	[ ] check ba status	kʰ a.!m/ŋ + b a	kʰamba
553	kʰ i.m	1300	31	HOUSE	Kagate	kʰim	house/khim	[x]	kʰ i.m	kʰim
807	kʰ a.ŋ - + p a	1301	1383 10	HOUSE	Lowa	kʰaŋpa	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + p a	kʰaŋpa
1063	kʰ i.m	1300	31	HOUSE	Nubri	kʰim	house/khim	[x]	kʰ i.m	kʰim
1312	kʰ a.ŋ - + b a	1301	1383 10	HOUSE	Sherpa	kʰaŋba	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + b a	kʰaŋba
1556	k o.ɹ + ts a	405	1384 1385	HOUSE	Tsum	koɹtsa	house/kor house/tsa	[x]	k o.ɹ + ts a	koɹtsa
1557	kʰ i.m	1300	31	HOUSE	Tsum	kʰim	house/khim	[x]	kʰ i.m	kʰim
1818	kʰ a.ŋ - + b a	1301	1383 10	HOUSE	Yolmo	kʰaŋba	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + b a	kʰaŋba
